,$CASNumber$,$IngredientName$,$clean_wo_work$,$bgCAS$,$category$,$date_added$,$date_curated$,$is_new$,$stat$,$bgCASgood$
$5484$,$1302-36-2$,$Corundum$,$False$,,$ambiguous$,$2021-04-01$,$2021-04-02$,$False$,$unk$,
$1937$,$000100-97-0$,$Hexamethylenetetramine (Hexamine)$,$False$,$100-97-0$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$1941$,$000104-55-2$,$Cinnamaldehyde$,$False$,$104-55-2$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$1947$,$000107-19-7$,$Propargyl Alcohol (2-Propynol)$,$False$,$107-19-7$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$1951$,$000107-21-1$,$Ethylene Glycol$,$False$,$107-21-1$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$1960$,$000111-30-8$,$Glutaraldehyde$,$False$,$111-30-8$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$1961$,$000111-30-8$,$Glutaraldehyde (Pentanediol)$,$False$,$111-30-8$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$1968$,$000111-76-2$,$2-Butoxyethanol (Ethylene Glycol$,$False$,$111-76-2$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$1969$,$000111-76-2$,$2-Butoxyethanol (Ethylene Glycol Monobutyl Ether)$,$False$,$111-76-2$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$1983$,$0001310-73-2$,$Soadium Hydroxide$,$False$,$1310-73-2$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$1988$,$000141-53-7$,$Sodium formate$,$False$,$141-53-7$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$1991$,$000144-55-8$,$Sodium hydrogen carbonate$,$False$,$144-55-8$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$1992$,$000151-21-3$,$Laurel Sulfate$,$False$,$151-21-3$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$1999$,$000584-08-7$,$Potassium Carbonate$,$False$,$584-08-7$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2000$,$000590-29-4$,$Potassium formate$,$False$,$590-29-4$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2001$,$000593-81-7$,$Trimethylamine Hydrochloride$,$False$,$593-81-7$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2004$,$000631-61-8$,$Ammonium Acetate$,$False$,$631-61-8$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2006$,$00064-19-7$,$Acetic acid$,$False$,$64-19-7$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2007$,$0006419-19-8$,$Aminotri Methylenephosphonic Acid$,$False$,$6419-19-8$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2015$,$0007173-51-5$,$1-Decanaminium, N-decyl-N, N-dimethyl-, chloride (1:1)$,$False$,$7173-51-5$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2016$,$0007647-01-0$,$Hydrochloric acid$,$False$,$7647-01-0$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2036$,$001310-58-3$,$Potassium Hydroxide$,$False$,$1310-58-3$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2040$,$001310-73-2$,$Sodium Hydroxide$,$False$,$1310-73-2$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2048$,$001330-43-4$,$Sodium Tetraborate$,$False$,$1330-43-4$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2052$,$001338-43-8$,$Sorbitan Monooleate$,$False$,$1338-43-8$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2061$,$002836-32-0$,$Sodium Glycolate (Sodium Hydroxyacetate)$,$False$,$2836-32-0$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2062$,$005064-31-3$,$Trisodium Nitrilotriacetate$,$False$,$5064-31-3$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2063$,$005064-31-3$,$Trisodium nitrilotriacetate$,$False$,$5064-31-3$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2066$,$005470-11-1$,$Hydroxylamine Hydrochloride$,$False$,$5470-11-1$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2070$,$006381-77-7$,$Sodium Erythorbate$,$False$,$6381-77-7$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2071$,$0064-19-7$,$Acetic Acid$,$False$,$64-19-7$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2075$,$0067-56-1$,$Ethoxylated aicohol methanol$,$False$,$67-56-1$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2078$,$0068002-97-1$,$Alcohols C10-16, ethoxylated$,$False$,$68002-97-1$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2079$,$0068002-97-1$,$Alcohols, C10-16 ethoxylated$,$False$,$68002-97-1$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2081$,$0068002-97-1$,$Alcohols, C10-16, ethoxylated$,$False$,$68002-97-1$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2085$,$0068424-85-1$,$Quaternary ammonium compounds, benzyl-C12 16-alkyldimethyl, chlorides$,$False$,$68424-85-1$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2087$,$007173-51-5$,$Didecyl Dimethyl Ammonium Chloride$,$False$,$7173-51-5$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2091$,$007447-40-7$,$Potassium Chloride$,$False$,$7447-40-7$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2093$,$007631-86-9$,$Crystalline Silica (Silicon Dioxide)$,$False$,$7631-86-9$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2100$,$007647-01-0$,$Hydrochloric Acid$,$False$,$7647-01-0$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2102$,$007647-01-0$,$Hydrogen Chloride$,$False$,$7647-01-0$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2106$,$007647-14-5$,$Sodium Chloride$,$False$,$7647-14-5$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2109$,$007664-38-2$,$PHOSPHORIC ACID$,$False$,$7664-38-2$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2110$,$007664-38-2$,$Phosphoric Acid$,$False$,$7664-38-2$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
