,CASNumber,IngredientName,clean_wo_work,bgCAS,category,date_added,date_curated,is_new,stat,comment
0,68434-57-6,$Alkyl (C-14-C16) Olefin Sulfonate, Sodium Salt$,False,,ambiguous,2021-04-01,2021-04-02,True,unk,
64,15827- 60-8,$Diethylenetriamine, pentamethylenepentaphosphonic acid$,False,15827-60-8,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
65,64742-47-8 ,$Distillates, Petroleum, Hydrotreated Light$,False,64742-47-8,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
66,027176-87-0,Dodecylbenzenesulfonic Acid,False,27176-87-0,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
67,000064-17-5,Ethanol,False,64-17-5,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
68,009016-45-9,Ethoxylated Nonyl Phenol (Nonyl Phenol Ethoxylate),False,9016-45-9,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
69,000107-21-1,Ethylene Glycol,False,107-21-1,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
70,009003-05-8,$Ethylene oxide, propylene$,False,9003-05-8,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
71,000050-00-0,Formaldehyde,False,50-00-0,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
72,0000050-00-0,Formaldehyde,False,50-00-0,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
73,000111-30-8,Glutaraldehyde,False,111-30-8,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
74,000111-30-8,Glutaraldehyde (Pentanediol),False,111-30-8,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
75,009000-30-0,Guar Gum,False,9000-30-0,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
76,064742-94-5,$Heavy Aromatic Naphtha (Naphtha,$,False,64742-94-5,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
77,064742-94-5,$Heavy Aromatic Naphtha (Naphtha, Petroleum Naphtha, Catalytic$,False,64742-94-5,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
78,064742-94-5,$Heavy Aromatic Naphtha (Naphtha, Petroleum Naphtha, Catalytic Reformed Naphtha, Heavy Paraffinic$,False,64742-94-5,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
79,064742-94-5,$Heavy Aromatic Naphtha (Naphtha, Petroleum Naphtha, Catalytic Reformed Naphtha, Heavy Paraffinic Distillate)$,False,64742-94-5,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
80,009012-54-8,Hemicellulase Enzyme,False,9012-54-8,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
81,1009-7-0,Hexamethylenetetramine,False,1009-07-0,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
82,000100-97-0,Hexamethylenetetramine (Hexamine),False,100-97-0,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
83,7647-1-0,Hydrochloric Acid,False,7647-01-0,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
84,007647-01-0,Hydrochloric Acid,False,7647-01-0,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
85,7647-1-0,Hydrochloric Acid & water,False,7647-01-0,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
86,007647-01-0,Hydrogen Chloride,False,7647-01-0,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
87,7647-1-0,Hydrolchloric Acid,False,7647-01-0,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
88,017593-73-6,Iminodiacetate disodium salt,False,17593-73-6,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
89,000067-63-0,$Isopropanol (Isopropyl Alcohol, Propan-2-ol)$,False,67-63-0,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
90,000151-21-3,Laurel Sulfate,False,151-21-3,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
91,0000067-56-1,Methanol,False,67-56-1,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
92,000067-56-1,Methanol (Methyl Alcohol),False,67-56-1,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
93,064742-48-9,$Naphtha, hydrotreated heavy$,False,64742-48-9,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
94,000091-20-3,Naphthalene,False,91-20-3,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
95,064742-47-8,Petroleum Distallate Hydrotreated Light,False,64742-47-8,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
96,064742-47-8,Petroleum Distillate Hydrotreated Light,False,64742-47-8,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
97,009003-35-4,Phenol/Formaldehyde Resin,False,9003-35-4,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
98,013598-39-2,Phosphoic acid,False,13598-36-2,auth: cleaned,2021-04-01,2021-04-02,True,unk,
99,013598-36-2,Phosphonic Acid,False,13598-36-2,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
100,007664-38-2,PHOSPHORIC ACID,False,7664-38-2,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
101,007664-38-2,Phosphoric Acid,False,7664-38-2,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
102,09003-05-8,Polyacrylamide,False,9003-05-8,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
103,000056-81-5,Polyacrylamide (2-Propenamide w/ propenoic acid and sodium propenoate,False,56-81-5,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
104,051838-31-4,$Polyepichlorohydrin, Trimethyl Amine Quaternized$,False,51838-31-4,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
105,031726-34-8,Polyethylene glycol monohexyl ether,False,31726-34-8,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
106,068130-15-4,Polysaccharide,False,68130-15-4,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
107,000584-08-7,Potassium Carbonate,False,584-08-7,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
108,007447-40-7,Potassium Chloride,False,7447-40-7,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
109,000590-29-4,Potassium formate,False,590-29-4,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
110,001310-58-3,Potassium Hydroxide,False,1310-58-3,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
111,013709-94-9,Potassium Metaborate,False,13709-94-9,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
112,007778-53-2,Potassium Phosphate,False,7778-53-2,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
113,000107-19-7,Propargyl Alcohol (2-Propynol),False,107-19-7,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
114,09003-11-6,Proprietry,False,9003-11-6,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
115,012125-02-9,Quaternary Ammonium Chloride,False,12125-02-9,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
116,012125-02-9,Quaternary Ammonium Chloride (Ammonium Chloride),False,12125-02-9,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
117,068424-85-1,Quaternary Ammonium Compound,False,68424-85-1,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
118,068424-85-1,Quaternary ammonium compound,False,68424-85-1,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
119,068391-01-5,$Quaternary Ammonium Compounds, benzyl-C12-18-alkyldimethyl, chlorides$,False,68391-01-5,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
120,067762-90-7,$Silica, amorphous precipitated$,False,67762-90-7,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
121,007789-38-0,Sodium Bromate,False,7789-38-0,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
122,007647-14-5,Sodium Chloride,False,7647-14-5,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
123,007758-19-2,Sodium Chlorite,False,7758-19-2,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
124,006381-77-7,Sodium Erythorbate,False,6381-77-7,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
125,000141-53-7,Sodium formate,False,141-53-7,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
126,002836-32-0,Sodium Glycolate (Sodium Hydroxyacetate),False,2836-32-0,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
127,000144-55-8,Sodium hydrogen carbonate,False,144-55-8,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
128,1310-7-2,Sodium Hydroxide,False,18433-42-6,auth: cleaned,2021-04-01,2021-04-02,True,verified;from deprecated,
129,001310-73-2,Sodium Hydroxide,False,1310-73-2,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
130,06381-77-7,Sodium Isoascorbate,False,6381-77-7,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
131,06381-77-7,Sodium Ispascorbate,False,6381-77-7,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
132,9004 -82-4,Sodium Laureate Sulfate,False,9004-82-4,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
133,010555-76-7,Sodium Metaborate Tetrahydrate,False,10555-76-7,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
134,010486-00-7,Sodium perborate tetrahydrate,False,10486-00-7,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
135,007775-27-1,Sodium Persulfate,False,7775-27-1,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
136, 9003-04-7,Sodium polyacrylate,False,9003-04-7,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
137,007757-82-6,Sodium Sulfate Anhydrous,False,7757-82-6,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
138,001330-43-4,Sodium Tetraborate,False,1330-43-4,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
139,001338-43-8,Sorbitan Monooleate,False,1338-43-8,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
140,7446-O9-5,Sulfur Dioxide,False,7446-09-5,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
141,068439-51-0,Surfactant,False,68439-51-0,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
142,072480-70-7,$Tar bases, quinoline derivs, benzyl chloride-qauternized$,False,72480-70-7,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
143,75-7-0,Tetramethyl ammonium chloride,False,75-07-0,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
144,000075-57-0,Tetramethyl Ammonium Chloride,False,75-57-0,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
145,000064-02-8,Tetrasodium Ethylenediaminetetraacetate,False,64-02-8,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
146,0000062-56-6,Thiourea,False,62-56-6,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
147,000075-50-3,Trimethylamine,False,75-50-3,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
148,000593-81-7,Trimethylamine Hydrochloride,False,593-81-7,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
149,005064-31-3,Trisodium Nitrilotriacetate,False,5064-31-3,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
150,005064-31-3,Trisodium nitrilotriacetate,False,5064-31-3,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
151,007732-18-5,Water,False,7732-18-5,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
152,81741-2-8,_empty_in_raw_,False,81741-02-8,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
153,6742-47-8,$"Distillates(Petroleum), hydrotreated light"$,True,64742-47-8,auth: corrected,2021-04-01,2021-04-02,True,valid_but_empty,
154,95-93-6,$1,2,4 Trimethylbenzene$,False,95-63-6,auth: corrected,2021-04-01,2021-04-02,True,unk,
155,95-93-6,$1,2,4-Trimethylbenzene$,False,95-63-6,auth: corrected,2021-04-01,2021-04-02,True,unk,
156,93-36-6,$1,2,4-Trimethylbenzene$,False,95-63-6,auth: corrected,2021-04-01,2021-04-02,True,unk,
157,000093-36-6,$1,2,4-Trimethylbenzene$,False,95-63-6,auth: corrected,2021-04-01,2021-04-02,True,unk,
158,111-72-2,2-Butoxyethanol,False,111-76-2,auth: corrected,2021-04-01,2021-04-02,True,unk,
159,111-7-2,2-Butoxyethanol,False,111-76-2,auth: corrected,2021-04-01,2021-04-02,True,unk,
160,11-76-2,2-Butoxyethanol,False,111-76-2,auth: corrected,2021-04-01,2021-04-02,True,unk,
161,67-63-2,2-Propanol,False,67-63-0,auth: corrected,2021-04-01,2021-04-02,True,unk,
162,107-19-1,2-propen-1-ol,False,107-19-7,auth: corrected,2021-04-01,2021-04-02,True,unk,
163,4/7/9003,$2-propenoic acid,homopolymer,sodium$,False,9003-01-4,auth: corrected,2021-04-01,2021-04-02,True,unk,
164,110224-99-1,$2-PROPENOIC ACID,TELOMER WITH SODIUM 2-METHYL-2-1-OXO-2-PROPEN-1-YL AMINO1-1PROPANESULFONATE1:1A NDS$,False,110224-99-2,auth: corrected,2021-04-01,2021-04-02,True,unk,
165,1022-01-2,$2,2 Dibromo-3-nitrilopropionamide$,False,10222-01-2,auth: corrected,2021-04-01,2021-04-02,True,unk,
166,10220-01-2,$2,2-Dibromo-3-D37nitrilopropionamide$,False,10222-01-2,auth: corrected,2021-04-01,2021-04-02,True,unk,
167,10222-01-5,$2,2-dibromo-3-nitril oprop ionam ide$,False,10222-01-2,auth: corrected,2021-04-01,2021-04-02,True,unk,
168,1022-01-2,$2,2-Dibromo-3-nitrilo-propionamide$,False,10222-01-2,auth: corrected,2021-04-01,2021-04-02,True,unk,
169,10222-02-2,$2,2-dibromo-3-nitrilopropionamide$,False,10222-01-2,auth: corrected,2021-04-01,2021-04-02,True,unk,
170,10222-01-02,$2,2-Dibromo-3-Nitrilopropionamide$,False,10222-01-2,auth: corrected,2021-04-01,2021-04-02,True,unk,
171,1022-01-2,$2,2-Dibromo-3-nitrilopropionamide$,False,10222-01-2,auth: corrected,2021-04-01,2021-04-02,True,unk,
172,1022-01-2,$2,2-dibromo-3-nitriloprpionamide$,False,10222-01-2,auth: corrected,2021-04-01,2021-04-02,True,unk,
173,14808-60-9,30/50 Oil Plus,False,14808-60-7,auth: corrected,2021-04-01,2021-04-02,True,unk,
174,14808-60-8,30/50 PPC,False,14808-60-7,auth: corrected,2021-04-01,2021-04-02,True,unk,
175,14808-60-9,30/50 Resin Sand,False,14808-60-7,auth: corrected,2021-04-01,2021-04-02,True,unk,
176,14808-60-8,40/70 White,False,14808-60-7,auth: corrected,2021-04-01,2021-04-02,True,unk,
177,26172-55-74,5-chloro-2-methyl-4-isothiazolin-3-one,False,26172-55-4,auth: corrected,2021-04-01,2021-04-02,True,unk,
178,7647-01-1,7647-01-1,False,7647-01-0,auth: corrected,2021-04-01,2021-04-02,True,unk,
179,64-19-17,Aceitic Acid,False,64-19-7,auth: corrected,2021-04-01,2021-04-02,True,unk,
180,67-19-7,Acetic Acid,False,64-19-7,auth: corrected,2021-04-01,2021-04-02,True,unk,
181,64-19-76,Acetic Acid,False,64-19-7,auth: corrected,2021-04-01,2021-04-02,True,unk,
182,64-19-6,Acetic acid,False,64-19-7,auth: corrected,2021-04-01,2021-04-02,True,unk,
183,64-19-17,Acetic Acid,False,64-19-7,auth: corrected,2021-04-01,2021-04-02,True,unk,
184,64-17-7,Acetic Acid,False,64-19-7,auth: corrected,2021-04-01,2021-04-02,True,unk,
185,34-19-7,Acetic acid,False,64-19-7,auth: corrected,2021-04-01,2021-04-02,True,unk,
186,64-19-17,$Acetic Acid, Glacial$,False,64-19-7,auth: corrected,2021-04-01,2021-04-02,True,unk,
187,000106-24-7,Acetic Anhydride,False,108-24-7,auth: corrected,2021-04-01,2021-04-02,True,unk,
188,67-63-6,Acetone,False,67-64-1,auth: corrected,2021-04-01,2021-04-02,True,unk,
189,64-67-1,Acetone,False,67-64-1,auth: corrected,2021-04-01,2021-04-02,True,unk,
190,79-06-01,Acrylamide,False,79-06-1,auth: corrected,2021-04-01,2021-04-02,True,unk,
191,79-06-41,Acrylamide (Residual),False,79-06-1,auth: corrected,2021-04-01,2021-04-02,True,unk,
192,25085-02-03,Acrylamide Sodum Acrylate Copolymer,False,25085-02-3,auth: corrected,2021-04-01,2021-04-02,True,unk,
193,9003-13-2,Acrylic  terpolymer,False,9003-13-8,auth: corrected,2021-04-01,2021-04-02,True,unk,
194,9003-13-2,Acrylic Terpolymer,False,9003-13-8,auth: corrected,2021-04-01,2021-04-02,True,unk,
195,9003-13-2,Acrylic terpolymer,False,9003-13-8,auth: corrected,2021-04-01,2021-04-02,True,unk,
196,34390-01-1,$Alcohol, C11 linear, ethoxylated$,False,34398-01-1,auth: corrected,2021-04-01,2021-04-02,True,unk,
197,68439-48-3,Alcohols C9-C11 (ethoxylated) 68439-48-3,False,68439-46-3,auth: corrected,2021-04-01,2021-04-02,True,unk,
198,68439(cid:3235)45(cid:3235)2,Alkyl Alcohol Ethxylate,False,68439-45-2,auth: corrected,2021-04-01,2021-04-02,True,unk,
