$rawName$,$cleanName$,$xlateName$,$status$
$50% Mcallen Central 50% BTLT Water Well$,$50% mcallen central 50% btlt water well$,$ambiguous$,$curated$
$50% McAllen Central/25% City Water/25% McAllen Ranch Well Water$,$50% mcallen central/25% city water/25% mcallen ranch well water$,$ambiguous$,$curated$
$50% Nabors 50% Mcallen Central$,$50% nabors 50% mcallen central$,$ambiguous$,$curated$
$501545$,$501545$,$not a company$,$curated$
$55 Nabors 45 McAllen Central$,$55 nabors 45 mcallen central$,$ambiguous$,$curated$
$5L Properties, Inc.$,$5l properties, inc.$,$5l properties$,$curated$
$60 Nabors 40 McAllen Central$,$60 nabors 40 mcallen central$,$ambiguous$,$curated$
$60% McAllen Ranch, 30% City Water, 10% BTLT Water$,$60% mcallen ranch, 30% city water, 10% btlt water$,$ambiguous$,$curated$
$60% Nabors and 40% BTLT Pond$,$60% nabors and 40% btlt pond$,$ambiguous$,$curated$
$7.44$,$7.44$,$not a company$,$curated$
$70 Cental and 30 City water.$,$70 cental and 30 city water.$,$ambiguous$,$curated$
$70 Mcallen Central 30 Mission Crane water$,$70 mcallen central 30 mission crane water$,$ambiguous$,$curated$
$70 McAllen Central 30 Municipal Water$,$70 mcallen central 30 municipal water$,$ambiguous$,$curated$
$70% BTLT Water Well and 30% Mission City Water$,$70% btlt water well and 30% mission city water$,$ambiguous$,$curated$
$714217$,$714217$,$not a company$,$curated$
$742143$,$742143$,$not a company$,$curated$
$75% BTLT, 25% Nabors Yard$,$75% btlt, 25% nabors yard$,$ambiguous$,$curated$
$7732-18-5$,$7732-18-5$,$not a company$,$curated$
$775854$,$775854$,$not a company$,$curated$
$8 North LLC$,$8 north llc$,$8 north$,$curated$
$80 Lopez Water 20 Mcallen Central$,$80 lopez water 20 mcallen central$,$ambiguous$,$curated$
$80 McAllen Central and 20 McAllen City water$,$80 mcallen central and 20 mcallen city water$,$ambiguous$,$curated$
$80% BTLT Water Well 20% City Water$,$80% btlt water well 20% city water$,$ambiguous$,$curated$
$80% BTLT Water Well 20% City Water Nabors Yard$,$80% btlt water well 20% city water nabors yard$,$ambiguous$,$curated$
$81 McAllen Central and 19 McAllen City Water$,$81 mcallen central and 19 mcallen city water$,$ambiguous$,$curated$
$81% City Water, 19% BTLT Pond$,$81% city water, 19% btlt pond$,$ambiguous$,$curated$
$85% BTLT water well 5% Mcallen Ranch 10% City Water$,$85% btlt water well 5% mcallen ranch 10% city water$,$ambiguous$,$curated$
$89 Energy$,$89 energy$,$89 energy$,$curated$
$9.08$,$9.08$,$not a company$,$curated$
$9.66$,$9.66$,$not a company$,$curated$
$9.8412$,$9.8412$,$not a company$,$curated$
$90 Degree Technologies$,$90 degree technologies$,$90 degree technologies$,$curated$
$90 Mcallen Central 10 City$,$90 mcallen central 10 city$,$ambiguous$,$curated$
$90 Mcallen Central 10 Mcallen City$,$90 mcallen central 10 mcallen city$,$ambiguous$,$curated$
$90 McAllen Central and 10 City Water.$,$90 mcallen central and 10 city water.$,$ambiguous$,$curated$
$90% City 10% Mcallen Central$,$90% city 10% mcallen central$,$ambiguous$,$curated$
$90% Mcallen Central 10 % City$,$90% mcallen central 10 % city$,$ambiguous$,$curated$
$90% McAllen Central and 10% McAllen City Water$,$90% mcallen central and 10% mcallen city water$,$ambiguous$,$curated$
$90% McAllen Central, 10% McAllen City Water$,$90% mcallen central, 10% mcallen city water$,$ambiguous$,$curated$
$94 Operating, LP$,$94 operating, lp$,$94 operating$,$curated$
$95 McAllen Central and 5 McAllen City Water$,$95 mcallen central and 5 mcallen city water$,$ambiguous$,$curated$
$A & C$,$a & c$,$a & c$,$curated$
$A Schulman Inc$,$a schulman inc$,$a schulman$,$curated$
$A Schulman Inc.$,$a schulman inc.$,$a schulman$,$curated$
