$synonym$,$cas_number$
$aluminum silicon oxide (al2sio5)$,$12141-46-7$
$kerphalite$,$12141-46-7$
$pyrax abb$,$12141-46-7$
$benzenesulfonic acid, 4-(phenylamino)-, sodium salt (1:1)$,$6152-67-6$
$benzenesulfonic acid, 4-(phenylamino)-, monosodium salt (9ci)$,$6152-67-6$
$sulfanilic acid, n-phenyl-, sodium salt (7ci,8ci)$,$6152-67-6$
$n-phenylsulfanilic acid sodium salt$,$6152-67-6$
$sdpas$,$6152-67-6$
$sodium diphenylamine-4-sulfonate$,$6152-67-6$
$benzene, 1,3-dibromo-5-methyl-$,$1611-92-3$
$toluene, 3,5-dibromo- (6ci,7ci,8ci)$,$1611-92-3$
$1,3-dibromo-5-methylbenzene$,$1611-92-3$
$3,5-dibromotoluene$,$1611-92-3$
$5-methyl-1,3-dibromobenzene$,$1611-92-3$
$nsc 87347$,$1611-92-3$
$benzene, 1,3-dibromo-5-fluoro-$,$1435-51-4$
$1,3-dibromo-5-fluorobenzene$,$1435-51-4$
$1-fluoro-3,5-dibromobenzene$,$1435-51-4$
$3,5-dibromo-1-fluorobenzene$,$1435-51-4$
$3,5-dibromofluorobenzene$,$1435-51-4$
$benzene, 1,3,5-tribromo-$,$626-39-1$
$1,3,5-tribromobenzene$,$626-39-1$
$nsc 62439$,$626-39-1$
$naphthalene, 2-bromo-$,$580-13-2$
$2-bromonaphthalene$,$580-13-2$
$2-naphthyl bromide$,$580-13-2$
$nsc 4011$,$580-13-2$
$β-bromonaphthalene$,$580-13-2$
$β-naphthyl bromide$,$580-13-2$
$benzene, 1,4-dibromo-2,5-difluoro-$,$327-51-5$
$1,4-dibromo-2,5-difluorobenzene$,$327-51-5$
$2,5-dibromo-1,4-difluorobenzene$,$327-51-5$
$2,5-difluoro-1,4-dibromobenzene$,$327-51-5$
$$,$Nope$
$benzenesulfonic acid, oxybis[decyl-, sodium salt (1:2)$,$70146-13-3$
$benzenesulfonic acid, oxybis[decyl-, disodium salt (9ci)$,$70146-13-3$
$oxirane, 2-methyl-, polymer with oxirane, 8-methylnonyl ether$,$68439-30-5$
$oxirane, methyl-, polymer with oxirane, 8-methylnonyl ether (9ci)$,$68439-30-5$
$oxirane, polymer with methyloxirane, 8-methylnonyl ether (9ci)$,$68439-30-5$
$genapol ep 1022$,$68439-30-5$
$genapol ep 1024$,$68439-30-5$
$9-dodecenoic acid, methyl ester$,$39202-17-0$
$methyl 9-dodecenoate$,$39202-17-0$
$9-decenoic acid, methyl ester$,$25601-41-6$
$methyl 9-decenoate$,$25601-41-6$
$oxirane, 2-methyl-, polymer with oxirane, monobutyl ether$,$9038-95-3$
$glycols, polyethylene-polypropylene, monobutyl ether (8ci)$,$9038-95-3$
$oxirane, methyl-, polymer with oxirane, monobutyl ether (9ci)$,$9038-95-3$
$oxirane, polymer with methyloxirane, monobutyl ether (9ci)$,$9038-95-3$
$50hb2000$,$9038-95-3$
$50hb260$,$9038-95-3$
$50hb3520$,$9038-95-3$
$50hb5100$,$9038-95-3$
$50hb55$,$9038-95-3$
$50mb5$,$9038-95-3$
$antarox b 848$,$9038-95-3$
$b 11/120$,$9038-95-3$
$b 11/150$,$9038-95-3$
$b 11/300$,$9038-95-3$
$b 11/50$,$9038-95-3$
$b 11/50 (polyoxyalkylene)$,$9038-95-3$
$br 550$,$9038-95-3$
$bel-ray syncom 1400$,$9038-95-3$
$breox 50a140$,$9038-95-3$
$breox 50a20$,$9038-95-3$
$breox 50a20s$,$9038-95-3$
$breox 50a380$,$9038-95-3$
$butanol-ethylene oxide-propylene oxide adduct$,$9038-95-3$
$butoxy polyoxyethylene oxypropylene glycol$,$9038-95-3$
$butoxypolyethylenepolypropyleneglycol$,$9038-95-3$
$butoxyslovanik bk 61$,$9038-95-3$
$butyl alcohol-ethylene oxide-propylene oxide copolymer$,$9038-95-3$
$dcp 101$,$9038-95-3$
$emkarox vg 680w$,$9038-95-3$
$emulgen v 40$,$9038-95-3$
$emulsogen ep 4901$,$9038-95-3$
$emulson ag/pe$,$9038-95-3$
$ethylene oxide-propylene oxide copolymer butyl ether$,$9038-95-3$
$ethylene oxide-propylene oxide copolymer ether with n-butanol$,$9038-95-3$
$ethylene oxide-propylene oxide copolymer mono-n-butyl ether$,$9038-95-3$
$ethylene oxide-propylene oxide copolymer monobutyl ether$,$9038-95-3$
$ethylene oxide-propylene oxide polymer monobutyl ether$,$9038-95-3$
$ftd 89$,$9038-95-3$
$jeffox wl 5000$,$9038-95-3$
$jeffox wl 660$,$9038-95-3$
$macol 300$,$9038-95-3$
$macol 5100$,$9038-95-3$
$methyloxirane-oxirane copolymer monobutyl ether$,$9038-95-3$
$newpol 50hb100$,$9038-95-3$
$newpol 50hb2000$,$9038-95-3$
$newpol 50hb260$,$9038-95-3$
$newpol 50hb5100$,$9038-95-3$
$newpol 50hb5100s$,$9038-95-3$
$newpol 50hb55$,$9038-95-3$
$newpol 50hb600$,$9038-95-3$
$nissan disfoam ck 140$,$9038-95-3$
$nissan unilube 50m168l$,$9038-95-3$
$nissan unilube 50mb11$,$9038-95-3$
$nissan unilube 50mb168$,$9038-95-3$
$nissan unilube 50mb168l$,$9038-95-3$
$nissan unilube 50mb168r$,$9038-95-3$
$nissan unilube 50mb2$,$9038-95-3$
$nissan unilube 50mb26$,$9038-95-3$
$nissan unilube 50mb5$,$9038-95-3$
$nissan unilube 50mb72$,$9038-95-3$
$nissan unilube 60mb261$,$9038-95-3$
$nissan unilube 75mb900$,$9038-95-3$
$nissan unilube c$,$9038-95-3$
$nissan unilube mb 168$,$9038-95-3$
$nissan unilube mb 26$,$9038-95-3$
$oxyethylene-oxypropylene copolymer monobutyl ether$,$9038-95-3$
$ppg-26-buteth-26$,$9038-95-3$
$ppg-5-buteth-7$,$9038-95-3$
$ppg-buteth$,$9038-95-3$
$pionin p 1050b$,$9038-95-3$
$pluracol w 3520n$,$9038-95-3$
$pluriol a 1000pe$,$9038-95-3$
$pluriol a 1340pe$,$9038-95-3$
$pluriol a 2300pe$,$9038-95-3$
$pluriol a 500pe$,$9038-95-3$
$poly(propylene oxide-ethylene oxide) butyl ether$,$9038-95-3$
$polyethylene glycol-polypropylene glycol monobutyl ether$,$9038-95-3$
$polyethylene polypropylene glycol butyl ether$,$9038-95-3$
$polyethylene-polypropylene glycol monobutyl ether$,$9038-95-3$
$polyglycol b 1040$,$9038-95-3$
$polyglycol b 11/150$,$9038-95-3$
$polyglycol b 11/300$,$9038-95-3$
$polyglycol b 11/50$,$9038-95-3$
$polyglycol b 11/70$,$9038-95-3$
$polyglycol b 11/700$,$9038-95-3$
$polyglycol b 2020$,$9038-95-3$
$polyglykol b 11/50$,$9038-95-3$
$polyglykol b 11/70$,$9038-95-3$
$polyhydroxyethylene oxypropylene monobutyl ether$,$9038-95-3$
$polykol b 11/50$,$9038-95-3$
$polyoxyethylene polyoxyropylene monobutyl ether$,$9038-95-3$
$polyoxyethylene-polyoxypropylene monobutyl ether$,$9038-95-3$
$synalox 50-30b$,$9038-95-3$
$synalox epb 660$,$9038-95-3$
$tergitol xd$,$9038-95-3$
$toximul 8315$,$9038-95-3$
$ucon 50-660$,$9038-95-3$
$ucon 50hb100$,$9038-95-3$
$ucon 50hb2000$,$9038-95-3$
$ucon 50hb260$,$9038-95-3$
$ucon 50hb3520$,$9038-95-3$
$ucon 50hb400$,$9038-95-3$
$ucon 50hb5100$,$9038-95-3$
$ucon 50hb55$,$9038-95-3$
$ucon 50hb660$,$9038-95-3$
$ucon 80hb192$,$9038-95-3$
$unilube 50m168l$,$9038-95-3$
$unilube 50mb11$,$9038-95-3$
$unilube 50mb168$,$9038-95-3$
$unilube 50mb168l$,$9038-95-3$
$unilube 50mb2$,$9038-95-3$
$unilube 50mb26$,$9038-95-3$
$unilube 50mb5$,$9038-95-3$
$unilube 50mb72$,$9038-95-3$
$unilube 60mb261$,$9038-95-3$
$unilube c$,$9038-95-3$
$unilube mb 168$,$9038-95-3$
$unilube mb 26$,$9038-95-3$
$witconol apeb$,$9038-95-3$
$α-butoxy-ω-hydroxy ethylene oxide-propylene oxide copolymer$,$9038-95-3$
$pyridinium, 1-(phenylmethyl)-, et me derivs., chlorides$,$68909-18-2$
$phosphonium, tetrakis(hydroxymethyl)-, sulfate (2:1)$,$55566-30-8$
$phosphonium, tetrakis(hydroxymethyl)-, sulfate (2:1) (salt) (9ci)$,$55566-30-8$
$aqucar thps 75$,$55566-30-8$
$bis[tetra(hydroxymethyl)phosphonium] sulfate$,$55566-30-8$
$bis[tetrakis(hydroxymethyl)phosphonium] sulfate$,$55566-30-8$
$bricorr 75$,$55566-30-8$
$eccoshield fr 101$,$55566-30-8$
$magnacide 575$,$55566-30-8$
$octakis(hydroxymethyl)diphosphonium sulfate$,$55566-30-8$
$odycide b 320$,$55566-30-8$
$proban nx$,$55566-30-8$
$pyroset tko$,$55566-30-8$
$pyroset tkow$,$55566-30-8$
$retardol s$,$55566-30-8$
$thps$,$55566-30-8$
$thps 75$,$55566-30-8$
$tetrakis(hydroxymethyl)phosphonium sulfate$,$55566-30-8$
$tolcide$,$55566-30-8$
$tolcide 20a$,$55566-30-8$
$tolcide 70a$,$55566-30-8$
$tolcide ps$,$55566-30-8$
$tolcide ps 200$,$55566-30-8$
$tolcide ps 75$,$55566-30-8$
$quartz (sio2)$,$14808-60-7$
$quartz (8ci)$,$14808-60-7$
$1fx$,$14808-60-7$
$afs 100$,$14808-60-7$
$alsigran micro 5$,$14808-60-7$
$aventurine$,$14808-60-7$
$aventurine (quartz)$,$14808-60-7$
$cmc 12s$,$14808-60-7$
$crs 1101-17$,$14808-60-7$
$crystalite 5k$,$14808-60-7$
$crystalite 5x$,$14808-60-7$
$crystalite a 1$,$14808-60-7$
$crystalite a 2$,$14808-60-7$
$crystalite aa$,$14808-60-7$
$crystalite c$,$14808-60-7$
$crystalite cmc 12s$,$14808-60-7$
$crystalite crs$,$14808-60-7$
$crystalite ss$,$14808-60-7$
$crystalite vx 52$,$14808-60-7$
$crystalite vx-s$,$14808-60-7$
$crystalite vx-s 2$,$14808-60-7$
$crystalite vx-sr$,$14808-60-7$
$crystalite vx-x$,$14808-60-7$
$dpa$,$14808-60-7$
$dq 12$,$14808-60-7$
$dorsilit 10000mipur$,$14808-60-7$
$dorsilit 2500$,$14808-60-7$
$dorsimix 100$,$14808-60-7$
$e 600$,$14808-60-7$
$e 600 (quartz)$,$14808-60-7$
$eaz 10$,$14808-60-7$
$eq 906$,$14808-60-7$
$ekosil-melur 3$,$14808-60-7$
$ft 403$,$14808-60-7$
$glassfine cus 10$,$14808-60-7$
$hhh$,$14808-60-7$
$iota 4$,$14808-60-7$
$inducarb 0.5-1$,$14808-60-7$
$iota 6$,$14808-60-7$
$kmp-a$,$14808-60-7$
$kp 3$,$14808-60-7$
